reference,type,merged,len,text,note
요한복음 13:34,교훈,,50,새 계명을 너희에게 주노니 서로 사랑하라! 내가 너희를 사랑한 것같이 너희도 서로 사랑하라,'서로 사랑하라'
요한복음 13:35,교훈,,37,너희가 서로 사랑하면 이로써 모든 사람이 너희가 내 제자인줄 알리라,
요한복음 14:1,위안,,33,너희는 마음에 근심하지 말라 하나님을 믿으니 또 나를 믿으라,'너희는 마음에 근심하지 말라'
요한복음 14:2-3,위안,합본,121,내 아버지 집에 거할 곳이 많도다 그렇지 않으면 너희에게 일렀으리라 내가 너희를 위하여 처소를 예비하러 가노니 가서 너희를 위하여 처소를 예비하면 내가 다시 와서 너희를 내게로 영접하여 나 있는 곳에 너희도 있게하리라,'내 아버지 집에 거할 곳이 많도다'
요한복음 14:18,위안,,33,내가 너희를 고아와 같이 버려두지 아니하고 너희에게로 오리라,'너희를 고아와 같이 버려두지 아니하고'
요한복음 14:27,위안,,88,평안을 너희에게 끼치노니 곧 나의 평안을 너희에게 주노라 내가 너희에게 주는 것은 세상이 주는 것 같지 아니하니라 너희는 마음에 근심도 말고 두려워하지도 말라,'세상이 주는 것 같지 아니하니라'
요한복음 15:11,위안,,50,내가 이것을 너희에게 이름은 내 기쁨이 너희 안에 있어 너희 기쁨을 충만하게 하려 함이니라,
요한복음 15:13,교훈,,38,사람이 친구를 위하여 자기 목숨을 버리면 이에서 더 큰 사랑이 없나니,'친구를 위하여 자기 목숨을 버리면'
요한복음 15:15,위안,,89,이제부터는 너희를 종이라 하지 아니하리니 종은 주인의 하는 것을 알지 못함이라 너희를 친구라 하였노니 내가 내 아버지께 들은 것을 다 너희에게 알게 하였음이니라,'너희를 친구라 하였노니'
요한복음 16:20,위안,,75,내가 진실로 진실로 너희에게 이르노니 너희는 곡하고 애통하겠으나 세상은 기뻐하리라 너희는 근심하겠으나 너희 근심이 도리어 기쁨이 되리라,'너희 근심이 도리어 기쁨이 되리라'
요한복음 16:21,위안,,73,여자가 해산하게 되면 그 때가 이르렀으므로 근심하나 아이를 낳으면 세상에 사람 난 기쁨을 인하여 그 고통을 다시 기억지 아니하느니라,'아이를 낳으면 그 고통을 다시 기억지 아니하느니라'
요한복음 16:22,위안,,59,지금은 너희가 근심하나 내가 다시 너희를 보리니 너희 마음이 기쁠 것이요 너희 기쁨을 빼앗을 자가 없느니라,'너희 기쁨을 빼앗을 자가 없느니라'
요한복음 16:33,위안,,75,이것을 너희에게 이름은 너희로 내 안에서 평안을 누리게 하려 함이라 세상에서는 너희가 환난을 당하나 담대하라! 내가 세상을 이기었노라!,'세상에서는 너희가 환난을 당하나 담대하라'
요한복음 10:10,위안,,70,도적이 오는 것은 도적질하고 죽이고 멸망시키려는 것뿐이요 내가 온 것은 양으로 생명을 얻게 하고 더 풍성히 얻게 하려는 것이라,필터 탈락 — '더 풍성히 얻게 하려는 것이라'
요한복음 8:7b,교훈,·하반절,23,너희 중에 죄 없는 자가 먼저 돌로 치라!,서사 프레임 제거 — '너희 중에 죄 없는 자가 먼저 돌로 치라'
요한복음 8:11b,위안,·하반절,33,나도 너를 정죄하지 아니하노니 가서 다시는 죄를 범치 말라!,서사 프레임 제거 — '나도 너를 정죄하지 아니하노니'
